oprtact,icd9,icd9_nodot,score,human_index,human_agreed,human_icd9,name
IS169,504,504,0.943,0,true,,Total hepatectomy
IS170,4701,4701,1.000,0,true,,Laparoscopic appendectomy
IS171,5123,5123,1.000,1,false,5122,Laparoscopic cholecystectomy
IS172,5121,5121,0.995,1,false,5124,Other partial cholecystectomy
IS173,5141,5141,1.000,1,false,5151,Common duct exploration for removal of calculus
IS174,8753,8753,1.000,1,false,5123,Intraoperative cholangiogram
IS175,4467,4467,1.000,1,false,4466,Laparoscopic procedures for creation of esophagogastric sphincteric competence
IS176,5912,5912,0.951,1,false,5451,Laparoscopic lysis of perivesical adhesions
IS177,729,729,1.000,1,false,721,Other partial adrenalectomy
IS178,5421,5421,1.000,1,false,1742,Laparoscopy
IS179,5421,5421,0.999,1,false,5014,Laparoscopy
IS180,5412,5412,1.000,1,false,5495,Reopening of recent laparotomy site
IS181,4467,4467,1.000,1,false,4466,Laparoscopic procedures for creation of esophagogastric sphincteric competence
IS182,9984,9984,1.000,0,true,,Isolation
IS183,9984,9984,1.000,0,true,,Isolation
IS184,833,833,0.984,1,false,834,Repair of blepharoptosis by resection or advancement of levator muscle or aponeurosis
IS185,631,631,0.996,1,false,6372,Excision of varicocele and hydrocele of spermatic cord
IS186,8690,8690,0.891,1,false,8555,Extraction of fat for graft or banking
IS187,5059,5059,1.000,0,true,,Other transplant of liver
IS188,5059,5059,1.000,0,true,,Other transplant of liver
IS189,4573,4573,0.994,1,false,1733,Open and other right hemicolectomy
IS190,503,503,1.000,0,true,,Lobectomy of liver
IS191,4611,4611,0.994,0,true,,Temporary colostomy
IS193,4021,4021,0.972,1,false,403,Excision of deep cervical lymph node
IS194,5459,5459,1.000,1,false,5451,Other lysis of peritoneal adhesions
IS195,523,523,1.000,1,false,4141,Marsupialization of pancreatic cyst
IS196,5021,5021,0.983,1,false,5531,Marsupialization of lesion of liver
IS197,523,523,1.000,1,false,4141,Marsupialization of pancreatic cyst
IS198,7669,7669,1.000,0,true,,Other facial bone repair
IS199,8699,8699,0.935,1,false,35,Other operations on skin and subcutaneous tissue
IS200,581,581,1.000,0,true,,Urethral meatotomy
IS201,8584,8584,0.945,0,true,,Pedicle graft to breast
IS202,206,206,1.000,1,false,7639,Other cranial osteoplasty
IS203,8545,8545,1.000,1,false,8548,Unilateral radical mastectomy
IS204,8545,8545,1.000,1,false,8547,Unilateral radical mastectomy
IS205,4040,4040,1.000,1,false,4041,"Radical neck dissection, not otherwise specified"
IS206,5779,5779,1.000,0,true,,Other total cystectomy
IS207,554,554,0.995,0,true,,Partial nephrectomy
IS208,5554,5554,0.897,0,true,,Bilateral nephrectomy
IS209,5502,5502,1.000,1,false,5503,Nephrostomy
IS210,4467,4467,1.000,1,false,4466,Laparoscopic procedures for creation of esophagogastric sphincteric competence
IS211,3777,3777,0.956,1,false,3897,Removal of lead(s) [electrode] without replacement
IS212,9782,9782,0.964,1,false,5496,Removal of peritoneal drainage device
IS213,623,623,0.975,0,true,,Unilateral orchiectomy
IS214,625,625,1.000,1,false,6352,Orchiopexy
IS215,625,625,0.875,1,false,6241,Orchiopexy
IS216,625,625,0.984,1,false,623,Orchiopexy
IS217,623,623,1.000,0,true,,Unilateral orchiectomy
IS218,623,623,1.000,0,true,,Unilateral orchiectomy
IS219,6241,6241,1.000,1,false,623,Removal of both testes at same operative episode
IS220,623,623,1.000,0,true,,Unilateral orchiectomy
IS221,625,625,1.000,1,false,6352,Orchiopexy
IS222,5014,5014,1.000,0,true,,Laparoscopic liver biopsy
IS223,2762,2762,1.000,1,false,2763,Correction of cleft palate
IS224,5252,5252,1.000,0,true,,Distal pancreatectomy
IS225,5251,5251,1.000,0,true,,Proximal pancreatectomy
IS226,526,526,0.996,0,true,,Total pancreatectomy
IS227,2629,2629,0.991,1,false,2632,Other excision of salivary gland lesion
IS228,5521,5521,0.953,1,false,5995,Nephroscopy
IS229,5631,5631,1.000,1,false,5995,Ureteroscopy
IS230,6495,6495,0.976,1,false,6497,Insertion or replacement of non-inflatable penile prosthesis
IS231,6444,6444,1.000,0,true,,Reconstruction of penis
IS232,5592,5592,0.961,1,false,7121,Percutaneous aspiration of kidney (pelvis)
IS233,5502,5502,0.980,2,false,5503,Nephrostomy
IS234,1132,1132,0.891,1,false,8583,Excision of pterygium with corneal graft
IS235,6442,6442,1.000,2,false,5845,Release of chordee
IS236,4864,4864,0.951,1,false,4861,Posterior resection of rectum
IS237,1736,1736,0.965,1,false,4576,Laparoscopic sigmoidectomy
IS238,4852,4852,1.000,1,false,8934,Open abdominoperineal resection of the rectum
IS239,594,594,0.934,1,false,596,Suprapubic sling operation
IS240,3891,3891,1.000,0,true,,Arterial catheterization
IS241,5511,5511,1.000,0,true,,Pyelotomy
IS242,6372,6372,1.000,1,false,623,Ligation of spermatic cord
IS243,8313,8313,0.992,1,false,8211,Other tenotomy
IS244,4973,4973,0.952,0,true,,Closure of anal fistula
IS245,5523,5523,1.000,1,false,5524,Closed [percutaneous] [needle] biopsy of kidney
IS246,5524,5524,1.000,0,true,,Open biopsy of kidney
IS247,5582,5582,0.881,1,false,5503,Closure of nephrostomy and pyelostomy
IS248,1724,1724,0.964,1,false,5314,"Laparoscopic bilateral repair of inguinal hernia with graft or prosthesis, not otherwise specified"
IS249,5300,5300,0.938,1,false,5359,"Unilateral repair of inguinal hernia, not otherwise specified"
IS250,5305,5305,0.964,1,false,5314,"Repair of inguinal hernia with graft or prosthesis, not otherwise specified"
IS251,5362,5362,0.948,1,false,5351,Laparoscopic incisional hernia repair with graft or prosthesis
IS252,5362,5362,1.000,1,false,5361,Laparoscopic incisional hernia repair with graft or prosthesis
IS253,5314,5314,0.905,1,false,5312,Other and open bilateral repair of direct inguinal hernia with graft or prosthesis
IS254,5304,5304,0.954,1,false,5312,Other and open repair of indirect inguinal hernia with graft or prosthesis
IS255,5304,5304,1.000,1,false,1722,Other and open repair of indirect inguinal hernia with graft or prosthesis
IS256,1724,1724,1.000,1,false,5314,"Laparoscopic bilateral repair of inguinal hernia with graft or prosthesis, not otherwise specified"
IS257,4979,4979,1.000,1,false,4971,Other repair of anal sphincter
IS258,5022,5022,0.979,0,true,,Partial hepatectomy
IS259,2184,2184,0.948,0,true,,Revision rhinoplasty
IS260,5139,5139,1.000,1,false,5136,Other bile duct anastomosis
IS261,5296,5296,0.980,0,true,,Anastomosis of pancreas
IS262,9357,9357,0.923,1,false,9356,Application of other wound dressing
IS263,645,645,1.000,1,false,6444,"Operations for sex transformation, not elsewhere classified"
IS264,1736,1736,0.922,1,false,4576,Laparoscopic sigmoidectomy
IS265,4524,4524,0.992,0,true,,Flexible sigmoidoscopy
IS266,586,586,0.939,0,true,,Dilation of urethra
IS267,4951,4951,1.000,1,false,4952,Left lateral anal sphincterotomy
IS268,415,415,1.000,0,true,,Total splenectomy
IS269,415,415,1.000,0,true,,Total splenectomy
IS270,415,415,0.975,0,true,,Total splenectomy
IS271,8607,8607,1.000,1,false,3895,Insertion of totally implantable vascular access device [VAD]
IS272,64,64,1.000,1,false,651,Complete thyroidectomy
IS273,603,603,1.000,1,false,604,Suprapubic prostatectomy
IS274,5718,5718,0.962,1,false,5717,Other suprapubic cystostomy
IS275,45,45,0.863,1,false,476,Cranial or peripheral nerve graft
IS276,8229,8229,1.000,1,false,8321,Excision of other lesion of soft tissue of hand
IS277,4442,4442,1.000,1,false,4440,Suture of duodenal ulcer site
IS278,6269,6269,1.000,0,true,,Other repair of testis
IS279,4440,4440,1.000,1,false,4442,"Suture of peptic ulcer, not otherwise specified"
